step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
640000,1788027,1743001.11,1765449.92,1792657.15,1779130.46,1782390.15,1805023.02,1792521.78,1786397.46,1788507.33,1789402.36,1840467.54,1806064.79,1818243.95,1774842.89,1820171.74,1786111.40,1779073.21,1778736.06,1832938.41,1759868.50,1801481.07,1754692.63,1761014.24,1760820.18,1809456.73,1806677.84,1794182.55,1814745.11,1806885.87,1765073.03
650000,1815813,1766610.43,1790758.17,1831111.53,1797651.12,1808275.01,1832289.55,1821965.41,1807662.87,1815140.52,1813586.68,1863723.30,1829338.73,1843140.61,1800370.48,1848114.57,1814278.78,1817216.13,1803956.79,1864466.33,1784323.24,1829928.56,1781217.82,1786331.63,1788170.25,1840971.34,1834638.15,1815180.77,1851663.00,1837899.72,1795199.53
660000,1843474,1791383.95,1824779.02,1864283.87,1822728.73,1836146.44,1860117.57,1848993.20,1837282.33,1843262.05,1840824.96,1887099.26,1859328.81,1880560.20,1831037.08,1874141.25,1843377.74,1845644.11,1831243.15,1893794.40,1809729.15,1858396.17,1810222.07,1811185.30,1807158.55,1868467.86,1874284.18,1839847.89,1879915.84,1859519.63,1817109.22
670000,1871258,1815869.87,1855424.63,1888133.50,1850223.89,1864430.10,1883853.39,1879070.27,1870072.41,1872540.55,1878390.92,1911460.62,1883177.42,1907084.47,1860639.00,1899840.06,1869539.00,1878472.33,1867988.23,1922646.00,1841584.86,1886143.68,1840530.42,1835639.11,1835124.56,1903998.67,1908609.48,1865520.48,1905749.16,1891233.30,1843763.76
680000,1899034,1839409.24,1888590.21,1920963.16,1873610.01,1895088.17,1911487.91,1903521.27,1895247.26,1894219.15,1906742.12,1940103.73,1908233.36,1938591.97,1886022.42,1927555.72,1892616.95,1900559.15,1897505.83,1948392.23,1878690.26,1912488.01,1867220.54,1868195.07,1856446.84,1927298.71,1935863.68,1896669.96,1932627.90,1915095.55,1870314.87
690000,1926708,1869976.77,1916381.40,1947197.03,1900683.21,1923174.95,1938444.55,1935269.21,1932160.97,1919311.57,1934186.75,1968214.65,1936633.36,1969559.69,1907876.11,1943700.74,1917355.99,1929605.09,1927701.20,1976072.59,1903559.61,1934593.01,1891959.22,1892705.60,1882061.63,1958147.23,1966652.15,1927476.65,1962642.74,1944999.96,1898198.16
700000,1954421,1898681.50,1952717.60,1976003.27,1929096.57,1947917.20,1958248.33,1964017.80,1959950.30,1946726.91,1967217.42,1990461.55,1962833.87,2001662.32,1937842.56,1975504.76,1943081.20,1956721.53,1966455.39,2001621.11,1934397.68,1964395.02,1923662.27,1921416.47,1905595.95,1986851.41,2004921.64,1955806.75,1991954.46,1977599.93,1926579.14
710000,1982202,1917143.99,1980848.40,2001542.41,1960650.86,1971154.38,1986951.14,1990871.73,1985969.57,1967223.06,1996280.55,2013893.95,1989742.42,2026616.64,1968268.16,1997923.38,1968916.85,1983574.64,1989613.95,2028947.16,1960138.26,1994121.12,1956875.74,1941827.42,1935649.71,2009255.45,2034460.18,1984369.23,2022145.00,1997108.31,1949581.41
720000,2009952,1946505.90,2011371.04,2031699.97,1981962.98,1996221.98,2015983.05,2012720.59,2014064.03,1993283.07,2025964.24,2042567.62,2016986.09,2050305.39,1990919.68,2027525.39,1995558.00,2010770.88,2012393.44,2052132.96,1992156.43,2014112.22,1991716.03,1971546.82,1967537.66,2033576.32,2059935.15,2009888.30,2047348.90,2027301.29,1981422.55
730000,2037733,1970174.13,2039765.13,2051991.16,2004964.49,2027152.69,2048543.65,2047891.19,2042967.55,2020226.78,2055645.69,2069919.59,2040508.00,2069868.69,2018044.30,2048978.94,2027498.42,2031774.48,2035617.96,2084161.82,2017563.02,2038106.17,2016225.32,2003283.89,2003110.18,2052651.14,2084842.40,2040112.30,2073893.89,2058645.57,2008717.14
740000,2065397,1994511.55,2064164.30,2075832.47,2037978.82,2049422.94,2073417.46,2073605.79,2067043.71,2049538.48,2082156.15,2091878.26,2077905.86,2098183.80,2044607.34,2076253.78,2047086.21,2064247.33,2057289.39,2115685.02,2048768.76,2063961.48,2045437.99,2031034.86,2026602.88,2077289.32,2111262.90,2067527.49,2104227.22,2085796.16,2045727.56
750000,2093179,2020197.35,2091130.00,2101014.23,2062489.23,2077938.36,2098909.68,2104644.68,2095050.63,2076597.35,2106293.14,2117606.59,2106593.90,2132426.35,2072376.47,2103265.68,2080623.97,2090785.84,2085505.85,2143516.30,2072828.21,2085055.25,2073344.36,2056616.93,2056155.23,2109848.90,2134267.43,2087722.28,2133175.40,2118377.45,2069366.84
760000,2120926,2046136.16,2117296.94,2134403.87,2097213.13,2111937.75,2121999.90,2135185.39,2117761.06,2112009.82,2138824.76,2154690.92,2129837.98,2162438.22,2100081.95,2138099.75,2109185.65,2120864.99,2108941.11,2174159.25,2096325.53,2122372.70,2106694.11,2076788.46,2081069.25,2141263.36,2165087.91,2114248.71,2161120.04,2143312.98,2099624.60
770000,2148697,2074676.25,2145898.92,2161281.74,2125814.16,2138817.19,2151150.76,2172387.10,2142348.77,2144359.33,2165372.34,2183006.78,2153597.09,2190550.12,2118911.14,2164848.25,2133278.25,2146019.16,2141981.84,2206258.69,2122163.34,2149584.04,2130203.98,2109753.12,2108552.16,2172323.40,2191335.75,2141793.36,2185236.49,2166548.56,2130200.05
